YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2018,Montana,Percent of adults aged 18 years and older who have obesity,11.6,18 - 24,"(47.06652897200047, -109.42442064499971)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,19.3,18 - 24,"(43.62538123900049, -72.51764079099962)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,40.8,25 - 34,"(38.66551020200046, -80.71264013499967)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,32.7,25 - 34,"(32.83968109300048, -83.62758034599966)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,31.8,55 - 64,"(43.682630005000476, -114.3637300419997)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,25.2,65 or older,"(38.89037138500049, -77.03196112699965)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,14.9,18 - 24,"(44.56744942400047, -120.15503132599969)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(44.353130053000484, -100.3735306369997)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.8,35 - 44,"(40.06021014100048, -82.40426005599966)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,38.4,35 - 44,"(35.68094058000048, -85.77449091399967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.4,25 - 34,"(44.39319117400049, -89.81637074199966)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,24.7,25 - 34,"(43.65595011300047, -71.50036091999965)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,33.5,45 - 54,"(41.56266102000046, -72.64984095199964)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,27.2,65 or older,"(45.254228894000505, -68.98503133599962)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,39.8,35 - 44,"(38.34774030000045, -98.20078122699965)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,28.3,65 or older,"(40.79373015200048, -77.86070029399963)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,29.2,45 - 54,"(38.843840757000464, -106.13361092099967)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,36.3,55 - 64,"(40.48501028300046, -88.99771017799969)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.9,55 - 64,"(43.65595011300047, -71.50036091999965)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,29.8,35 - 44,"(64.84507995700051, -147.72205903599973)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,35.7,25 - 34,"(47.47531977900047, -100.11842104899966)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,16.1,18 - 24,"(40.79373015200048, -77.86070029399963)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,24.3,25 - 34,"(18.220833, -66.590149)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,27.9,18 - 24,"(31.31266064400046, -92.44568007099969)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,39.2,55 - 64,"(35.68094058000048, -85.77449091399967)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,23.7,35 - 44,"(38.843840757000464, -106.13361092099967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,28.4,65 or older,"(44.39319117400049, -89.81637074199966)"
2018,California,Percent of adults aged 18 years and older who have obesity,27.2,35 - 44,"(37.63864012300047, -120.99999953799971)"
2018,New York,Percent of adults aged 18 years and older who have obesity,25.2,25 - 34,"(42.82700103200045, -75.54397042699964)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,45.7,45 - 54,"(34.74865012400045, -92.27449074299966)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,30.4,35 - 44,"(41.56266102000046, -72.64984095199964)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,31.8,65 or older,"(32.84057112200048, -86.63186076199969)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,42.4,55 - 64,"(37.645970271000465, -84.77497104799966)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.9,35 - 44,"(39.29058096400047, -76.60926011099963)"
2018,Texas,Percent of adults aged 18 years and older who have obesity,38.6,45 - 54,"(31.827240407000488, -99.42677020599967)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,30.3,35 - 44,"(21.304850435000446, -157.85774940299973)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,32.4,65 or older,"(41.6410409880005, -99.36572062299967)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,29.4,45 - 54,"(13.444304, 144.793731)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,34.6,25 - 34,"(42.46940091300047, -93.81649055599968)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,20.3,18 - 24,"(41.6410409880005, -99.36572062299967)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,27.4,25 - 34,"(40.48501028300046, -88.99771017799969)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,36.5,55 - 64,"(32.83968109300048, -83.62758034599966)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,15.9,18 - 24,"(37.54268067400045, -78.45789046299967)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,43.6,45 - 54,"(33.998821303000454, -81.04537120699968)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,29.2,65 or older,"(37.54268067400045, -78.45789046299967)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,27.6,55 - 64,"(13.444304, 144.793731)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.5,35 - 44,"(46.35564873600049, -94.79420050299967)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.7,55 - 64,"(40.79373015200048, -77.86070029399963)"
2018,New Mexico,Percent of adults aged 18 years and older who have obesity,39.7,45 - 54,"(34.52088095200048, -106.24058098499967)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,38.9,45 - 54,"(44.6613195430005, -84.71439026999968)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,34.7,45 - 54,"(47.52227862900048, -120.47001078999972)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,31.8,65 or older,"(31.31266064400046, -92.44568007099969)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,34.0,45 - 54,"(39.360700171000474, -111.58713063499971)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,41.9,35 - 44,"(38.635790776000476, -92.56630005299968)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,43.0,55 - 64,"(38.66551020200046, -80.71264013499967)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,33.8,45 - 54,"(43.62538123900049, -72.51764079099962)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,36.4,45 - 54,"(43.682630005000476, -114.3637300419997)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,39.4,45 - 54,"(28.932040377000476, -81.92896053899966)"
2018,New Jersey,Percent of adults aged 18 years and older who have obesity,31.7,35 - 44,"(40.13057004800049, -74.27369128799967)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,18.4,18 - 24,"(39.008830667000495, -75.57774116799965)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,27.9,65 or older,"(44.56744942400047, -120.15503132599969)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,37.3,55 - 64,"(47.47531977900047, -100.11842104899966)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,39.5,55 - 64,"(35.47203135600046, -97.52107021399968)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,17.5,18 - 24,"(38.89037138500049, -77.03196112699965)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,37.9,55 - 64,"(18.220833, -66.590149)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,37.6,45 - 54,"(39.493240390000494, -117.07184056399967)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,40.6,45 - 54,"(39.766910452000445, -86.14996019399968)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,10.7,18 - 24,"(43.682630005000476, -114.3637300419997)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,28.3,65 or older,"(43.65595011300047, -71.50036091999965)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,30.2,25 - 34,"(39.008830667000495, -75.57774116799965)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,39.7,45 - 54,"(39.008830667000495, -75.57774116799965)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,22.3,18 - 24,"(38.66551020200046, -80.71264013499967)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,35.4,55 - 64,"(34.865970280000454, -111.76381127699972)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,40.7,35 - 44,"(47.47531977900047, -100.11842104899966)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.9,45 - 54,"(40.06021014100048, -82.40426005599966)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.7,25 - 34,"(42.27687047000046, -72.08269067499964)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,35.7,45 - 54,"(46.35564873600049, -94.79420050299967)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,26.4,65 or older,"(43.23554134300048, -108.10983035299967)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,10.2,18 - 24,"(39.493240390000494, -117.07184056399967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,24.3,18 - 24,"(44.39319117400049, -89.81637074199966)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,20.6,65 or older,"(13.444304, 144.793731)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,31.7,45 - 54,"(47.06652897200047, -109.42442064499971)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,28.9,25 - 34,"(47.06652897200047, -109.42442064499971)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,26.8,55 - 64,"(38.843840757000464, -106.13361092099967)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.7,55 - 64,"(42.27687047000046, -72.08269067499964)"
2018,New Mexico,Percent of adults aged 18 years and older who have obesity,25.8,18 - 24,"(34.52088095200048, -106.24058098499967)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,33.0,25 - 34,"(34.865970280000454, -111.76381127699972)"
2018,New York,Percent of adults aged 18 years and older who have obesity,27.0,65 or older,"(42.82700103200045, -75.54397042699964)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,40.3,45 - 54,"(40.79373015200048, -77.86070029399963)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,32.3,25 - 34,"(33.998821303000454, -81.04537120699968)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,26.9,65 or older,"(47.52227862900048, -120.47001078999972)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,45.8,45 - 54,"(31.31266064400046, -92.44568007099969)"
2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,19.4,18 - 24,"(43.65595011300047, -71.50036091999965)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,26.7,25 - 34,"(43.62538123900049, -72.51764079099962)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,40.7,45 - 54,"(38.34774030000045, -98.20078122699965)"
2018,New Jersey,Percent of adults aged 18 years and older who have obesity,25.8,65 or older,"(40.13057004800049, -74.27369128799967)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,44.2,55 - 64,"(32.745510099000455, -89.53803082499968)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,12.0,18 - 24,"(43.23554134300048, -108.10983035299967)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,20.6,18 - 24,"(21.304850435000446, -157.85774940299973)"
2018,Illinois,Percent of adults aged 18 years and older who have obesity,32.5,65 or older,"(40.48501028300046, -88.99771017799969)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,38.5,35 - 44,"(18.220833, -66.590149)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,17.4,65 or older,"(21.304850435000446, -157.85774940299973)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,41.9,45 - 54,"(35.68094058000048, -85.77449091399967)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,19.8,18 - 24,"(32.83968109300048, -83.62758034599966)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,24.9,65 or older,"(13.444304, 144.793731)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.5,35 - 44,"(18.220833, -66.590149)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,40.6,35 - 44,"(42.46940091300047, -93.81649055599968)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,29.6,65 or older,"(32.83968109300048, -83.62758034599966)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,29.0,65 or older,"(43.682630005000476, -114.3637300419997)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,27.0,25 - 34,"(44.353130053000484, -100.3735306369997)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,34.2,45 - 54,"(64.84507995700051, -147.72205903599973)"
2018,New Mexico,Percent of adults aged 18 years and older who have obesity,33.8,55 - 64,"(34.52088095200048, -106.24058098499967)"
2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,40.4,45 - 54,"(18.220833, -66.590149)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,29.5,35 - 44,"(39.360700171000474, -111.58713063499971)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,27.2,65 or older,"(64.84507995700051, -147.72205903599973)"
2018,Texas,Percent of adults aged 18 years and older who have obesity,37.7,55 - 64,"(31.827240407000488, -99.42677020599967)"
2018,New Jersey,Percent of adults aged 18 years and older who have obesity,21.8,25 - 34,"(40.13057004800049, -74.27369128799967)"
2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.0,45 - 54,"(41.70828019300046, -71.52247031399963)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,19.5,18 - 24,"(33.998821303000454, -81.04537120699968)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,41.2,35 - 44,"(34.74865012400045, -92.27449074299966)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,45.4,45 - 54,"(37.645970271000465, -84.77497104799966)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,27.9,65 or older,"(39.29058096400047, -76.60926011099963)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.9,45 - 54,"(39.29058096400047, -76.60926011099963)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,33.2,55 - 64,"(47.52227862900048, -120.47001078999972)"
2018,Missouri,Percent of adults aged 18 years and older who have obesity,35.1,25 - 34,"(38.635790776000476, -92.56630005299968)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,16.6,18 - 24,"(28.932040377000476, -81.92896053899966)"
2018,California,Percent of adults aged 18 years and older who have obesity,30.6,45 - 54,"(37.63864012300047, -120.99999953799971)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,30.5,55 - 64,"(45.254228894000505, -68.98503133599962)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,43.7,55 - 64,"(32.84057112200048, -86.63186076199969)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,38.5,25 - 34,"(32.745510099000455, -89.53803082499968)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,22.0,25 - 34,"(38.843840757000464, -106.13361092099967)"
2018,Hawaii,Percent of adults aged 18 years and older who have obesity,25.9,25 - 34,"(21.304850435000446, -157.85774940299973)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,40.8,45 - 54,"(35.47203135600046, -97.52107021399968)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,31.8,65 or older,"(44.353130053000484, -100.3735306369997)"
2016,Puerto Rico,Percent of adults aged 18 years and older who have obesity,18.3,18 - 24,"(18.220833, -66.590149)"
2018,South Carolina,Percent of adults aged 18 years and older who have obesity,36.7,55 - 64,"(33.998821303000454, -81.04537120699968)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,20.5,18 - 24,"(45.254228894000505, -68.98503133599962)"
2018,Nebraska,Percent of adults aged 18 years and older who have obesity,32.1,25 - 34,"(41.6410409880005, -99.36572062299967)"
2018,North Carolina,Percent of adults aged 18 years and older who have obesity,34.4,35 - 44,"(35.466220975000454, -79.15925046299964)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,35.7,35 - 44,"(44.6613195430005, -84.71439026999968)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have obesity,35.2,55 - 64,"(18.220833, -66.590149)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,15.2,18 - 24,"(47.52227862900048, -120.47001078999972)"
2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.0,25 - 34,"(37.54268067400045, -78.45789046299967)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,33.2,55 - 64,"(28.932040377000476, -81.92896053899966)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,31.3,55 - 64,"(39.493240390000494, -117.07184056399967)"
2018,Indiana,Percent of adults aged 18 years and older who have obesity,38.0,35 - 44,"(39.766910452000445, -86.14996019399968)"
2018,West Virginia,Percent of adults aged 18 years and older who have obesity,34.0,65 or older,"(38.66551020200046, -80.71264013499967)"
2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,36.1,55 - 64,"(44.39319117400049, -89.81637074199966)"
2018,Alabama,Percent of adults aged 18 years and older who have obesity,19.3,18 - 24,"(32.84057112200048, -86.63186076199969)"
2018,Connecticut,Percent of adults aged 18 years and older who have obesity,27.1,25 - 34,"(41.56266102000046, -72.64984095199964)"
2018,Guam,Percent of adults aged 18 years and older who have obesity,36.0,25 - 34,"(13.444304, 144.793731)"
2018,Kansas,Percent of adults aged 18 years and older who have obesity,39.5,55 - 64,"(38.34774030000045, -98.20078122699965)"
2018,New Jersey,Percent of adults aged 18 years and older who have obesity,31.8,55 - 64,"(40.13057004800049, -74.27369128799967)"
2018,Iowa,Percent of adults aged 18 years and older who have obesity,41.4,45 - 54,"(42.46940091300047, -93.81649055599968)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,33.4,55 - 64,"(46.35564873600049, -94.79420050299967)"
2018,North Dakota,Percent of adults aged 18 years and older who have obesity,41.7,45 - 54,"(47.47531977900047, -100.11842104899966)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,34.0,55 - 64,"(43.23554134300048, -108.10983035299967)"
2018,Vermont,Percent of adults aged 18 years and older who have obesity,28.0,35 - 44,"(43.62538123900049, -72.51764079099962)"
2018,Washington,Percent of adults aged 18 years and older who have obesity,29.9,25 - 34,"(47.52227862900048, -120.47001078999972)"
2018,Nevada,Percent of adults aged 18 years and older who have obesity,29.6,25 - 34,"(39.493240390000494, -117.07184056399967)"
2018,Louisiana,Percent of adults aged 18 years and older who have obesity,40.6,35 - 44,"(31.31266064400046, -92.44568007099969)"
2018,California,Percent of adults aged 18 years and older who have obesity,30.1,55 - 64,"(37.63864012300047, -120.99999953799971)"
2018,Oregon,Percent of adults aged 18 years and older who have obesity,30.5,35 - 44,"(44.56744942400047, -120.15503132599969)"
2018,Maryland,Percent of adults aged 18 years and older who have obesity,18.1,18 - 24,"(39.29058096400047, -76.60926011099963)"
2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,32.9,45 - 54,"(38.89037138500049, -77.03196112699965)"
2018,South Dakota,Percent of adults aged 18 years and older who have obesity,12.6,18 - 24,"(44.353130053000484, -100.3735306369997)"
2018,Idaho,Percent of adults aged 18 years and older who have obesity,27.8,25 - 34,"(43.682630005000476, -114.3637300419997)"
2018,Ohio,Percent of adults aged 18 years and older who have obesity,39.2,55 - 64,"(40.06021014100048, -82.40426005599966)"
2018,Texas,Percent of adults aged 18 years and older who have obesity,32.4,25 - 34,"(31.827240407000488, -99.42677020599967)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,38.3,55 - 64,"(39.008830667000495, -75.57774116799965)"
2018,Delaware,Percent of adults aged 18 years and older who have obesity,37.9,35 - 44,"(39.008830667000495, -75.57774116799965)"
2018,Florida,Percent of adults aged 18 years and older who have obesity,30.3,25 - 34,"(28.932040377000476, -81.92896053899966)"
2018,Tennessee,Percent of adults aged 18 years and older who have obesity,25.2,18 - 24,"(35.68094058000048, -85.77449091399967)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,26.1,65 or older,"(34.865970280000454, -111.76381127699972)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,13.0,18 - 24,"(42.27687047000046, -72.08269067499964)"
2018,Colorado,Percent of adults aged 18 years and older who have obesity,21.8,65 or older,"(38.843840757000464, -106.13361092099967)"
2018,Montana,Percent of adults aged 18 years and older who have obesity,29.2,35 - 44,"(47.06652897200047, -109.42442064499971)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,32.8,65 or older,"(32.745510099000455, -89.53803082499968)"
2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(42.27687047000046, -72.08269067499964)"
2018,Minnesota,Percent of adults aged 18 years and older who have obesity,19.0,18 - 24,"(46.35564873600049, -94.79420050299967)"
2020,Arizona,Percent of adults aged 18 years and older who have obesity,36.5,35 - 44,"(34.865970280000454, -111.76381127699972)"
2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,36.3,35 - 44,"(40.79373015200048, -77.86070029399963)"
2018,Michigan,Percent of adults aged 18 years and older who have obesity,32.3,65 or older,"(44.6613195430005, -84.71439026999968)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,30.1,65 or older,"(34.74865012400045, -92.27449074299966)"
2018,Alaska,Percent of adults aged 18 years and older who have obesity,21.2,18 - 24,"(64.84507995700051, -147.72205903599973)"
2018,Utah,Percent of adults aged 18 years and older who have obesity,25.7,25 - 34,"(39.360700171000474, -111.58713063499971)"
2018,Georgia,Percent of adults aged 18 years and older who have obesity,38.7,45 - 54,"(32.83968109300048, -83.62758034599966)"
2018,California,Percent of adults aged 18 years and older who have obesity,15.2,18 - 24,"(37.63864012300047, -120.99999953799971)"
2015,New York,Percent of adults aged 18 years and older who have obesity,29.7,35 - 44,"(42.827001032, -75.543970427)"
2018,Wyoming,Percent of adults aged 18 years and older who have obesity,22.3,25 - 34,"(43.23554134300048, -108.10983035299967)"
2013,Washington,Percent of adults aged 18 years and older who have obesity,33.3,45 - 54,"(47.522278629, -120.47001079)"
2011,Tennessee,Percent of adults aged 18 years and older who have obesity,32.5,55 - 64,"(35.68094058, -85.774490914)"
2018,Kentucky,Percent of adults aged 18 years and older who have obesity,43.1,35 - 44,"(37.645970271000465, -84.77497104799966)"
2018,Texas,Percent of adults aged 18 years and older who have obesity,35.3,65 or older,"(31.827240407000488, -99.42677020599967)"
2018,Arizona,Percent of adults aged 18 years and older who have obesity,14.4,18 - 24,"(34.865970280000454, -111.76381127699972)"
2018,Arkansas,Percent of adults aged 18 years and older who have obesity,26.2,18 - 24,"(34.74865012400045, -92.27449074299966)"
2018,New York,Percent of adults aged 18 years and older who have obesity,30.3,35 - 44,"(42.82700103200045, -75.54397042699964)"
2018,Maine,Percent of adults aged 18 years and older who have obesity,38.6,45 - 54,"(45.254228894000505, -68.98503133599962)"
2018,Mississippi,Percent of adults aged 18 years and older who have obesity,29.5,18 - 24,"(32.745510099000455, -89.53803082499968)"
2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,38.9,35 - 44,"(35.47203135600046, -97.52107021399968)"
